id,messages,result_1,result_2

0,"Добрый день еще раз, информация для владельцев Mac, как использовать разный софт, который разработан для винды - поставить wine",NEUT,PSTV

1,"Здесь вроде все подробно про wine https://yablyk.com/775764-obzor-wine-ili-kak-zapuskat-windows-programmy-na-mac-macos Из аналогов atom и sublime",NEUT,NEUT

2,atom и sublime - аналоги NotePad++,NEUT,NEUT

3,А аккаунт на гитхабе обязательно нужно иметь?,NEUT,NEUT

4,"Ага, он будет использоваться для сдачи некоторых домашек",NEUT,NEUT

5,"Кстати, всем привет! Меня зовут Аня, мы с Катей ваши ассистенты. Если у вас будут какие-то непонятки с домашками/вопросы по каким-то темам -- обращайтесь к нам, мы вам поможем",NEUT,PSTV

6,"Здравствуйте, а что такое латинская метка в таблице?",NEUT,NEUT

7,И откуда брать ник говорящего?,NEUT,NEUT

8,"Привет Про латинскую метку; уточню,  а ник говорящего вы составляете сами, инструкция есть в вашем конспекте <a href=""https://olesar.github.io/lingdata2020/hw1-metadata.html"">https://olesar.github.io/lingdata2020/hw1-metadata.html</a>",NEUT,NEUT

9,Спасибо,NEUT,NEUT

10,латинская метка — это имя файла видео, которое вы будете размечать, оно должно быть латинскими буквами вы потом увидете, в результате работы с видео у вас будут выходить файлы типа [name].[какое-то расширение], вот латинская метка = [name]",NEUT,NEUT

11,"То есть, пока что это не надо заполнять?",NEUT,NEUT

12,"Заполните сейчас, чтобы потом не возникло путаницы с файлами.",NEUT,NGTV

13,"Так, если я пока не работала с видео? Нам его только найти надо. Или это создать на гитхабе?",NEUT,PSTV

14,"просто придумайте пока какое-нибудь более цивильное название на основе названия вашего видео, которым вы в будущем будете называть итоговые файлы",NEUT,NEUT

15,"Хорошо, спасибо",NEUT,NEUT

16,А мы должны для интервью создать новый репозиторий?,PSTV,PSTV

17,"Добрый вечер, пока нет",NEUT,PSTV

18,Просто там ссылку нужно вставить...,NEUT,NEUT

19,"А, верно, тогда создайте репозиторий LiveCorpus, это не сложно:)",NEUT,PSTV

20,Поняла<br>Там нужно тоже только readme выбрать?,NEUT,PSTV

21,"Можно без ничего создавать, насколько я понимаю",NEUT,PSTV

22,"Да, создайте файл readme так же, как мы делали на семинаре",NEUT,PSTV

23,Спасибо большое,NEUT,NEUT

24,а мы же можем взять подкаст? он вроде очень даже похож на интервью..👉🏻👈🏻,NEUT,PSTV

25,Он с видео?,NEUT,NEUT

26,да,NEUT,NEUT

27,"Если вас спонтанность речи там устраивает, то да. Многие подкасты участники-журналисты заранее расписывают на бумаге, вот этого хотелось бы избежать (гладкой подготовленной речи)",NEUT,NEUT

28,"хорошо, спасибо)",NEUT,NEUT

29,нужно ли заполнять длину размеченного фрагмента?,NEUT,NEUT

30,в самой первой строчке в таблице написано пока не заполняем,NEUT,NEUT

31,Пока что не нужно заполнять),NEUT,NEUT

32,спасибо!,NEUT,NEUT

33,"для групп, у которых ещё не было семинара, на котором рассказывали про дз, дедлайн заполнения таблички тоже завтра?",NEUT,NEUT

34,"Добрый день, Нет, конечно, расскажу на первом семинаре)",NEUT,PSTV

35,"Здравствуйте! А когда у нас (204 группа) будет семинар? Кажется, вы говорили, что должен быть в понедельник, но у нас его нет в расписании (ни сегодня, ни в другой день на этой неделе)",NEUT,NEUT

36,"добрый день!<br>если в интервью вопросы не задаются вслух, а написаны на экране - это критично? (интервьюируемый отвечал на вопросы, заданные вслух, но потом видео отредактировали)",NEUT,PSTV

37,"Ой, это совсем плохо, мы ведь собираем данные по устной коммуникации. Я бы даже была рада, чтобы видео не редактировали, но это бывает сложно установить без опыта",NEUT,PSTV

38,"я имею в виду, что интервью все целиком изначально устное, но потом фразы интервьюера вырезали и заменили на кадры с текстом - ответы говорящего остались без изменений. лучше заменить видео?",NEUT,PSTV

39,"Нужно видео, где задают вопросы устно",NEUT,NEUT

40,"Я вот пришла на пары к 3 и 4 группам, никого нет, и тут мы выяснили, что они у вас в РУЗе пропали из зоны видимости",NEUT,PSTV

41,Пока обсуждаем возможность провести их онлайн завтра,NEUT,PSTV

42,У 204 группы есть завтра что-то кроме 1 пары?,NEUT,NEUT

43,5 и 6,NEUT,NEUT

44,у некоторых нисы,NEUT,NEUT

45,"Если не ошибаюсь (поправьте, если что), у нас свободна вторая пара. 5 и 6 - цифровая грамотность, а 3 и 4 - один из НИСов",NEUT,PSTV

46,"если, вторая свободна, попрошу офис поставить семинар 204 группе на это время",NEUT,PSTV

47,"А можно спросить, в каком формате будет проходить завтра онлайн-пара? Что нам для нее потребуется?",NEUT,NEUT

48,а когда пара у группы 201?<br>третья пара в среду?,NEUT,NEUT

49,"да, как на прошлой неделе. И так до конца первого модуля",NEUT,NEUT

50,Первая пара завтра стоит,NEUT,NEUT

51,я про семинар,NEUT,NEUT

52,В рузе нет,NEUT,NEUT

53,"Может, потом добавят",NEUT,PSTV

54,"офис говорит, проблемы с базой данных расписания, они ее починят и вы снова все увидите",NEUT,PSTV

55,"204 группа: первый семинар будет завтра, вт, на второй паре  в зуме; 203 группа: в среду на 6-ой паре",NEUT,NEUT

56,У 203 группы только один раз шестой парой или так всегда будет??,NEUT,NEUT

57,"нет, только один раз, нам нужно восполнить пропавший сегодня семинар",NEUT,PSTV

58,"потерпите, пожалуйста)",NEUT,NEUT

59,"Хорошо, спасибо",NEUT,NEUT

60,"Здравствуйте, Ольга Николаевна! Можно будет на семинар по зуму подключиться?",NEUT,NEUT

61,"Добрый день, 204 группа?",NEUT,PSTV

