id,messages,result_1,result_2,result_3
0,"Добрый день еще раз, информация для владельцев Mac, как использовать разный софт, который разработан для винды - поставить wine",0.1136391304347826,0.37338571428571427,0.8409
1,"Здесь вроде все подробно про wine <br><br><a href=""https://yablyk.com/775764-obzor-wine-ili-kak-zapuskat-windows-programmy-na-mac-macos/"">https://yablyk.com/775764-obzor-wine-ili-kak-zapuskat-windows-programmy-na-mac-macos/</a><br><br>Из аналогов atom и sublime",0.010473684210526316,0.199,0.0
2,atom и sublime - аналоги NotePad++,0.02842857142857143,0.199,0.0
3,А аккаунт на гитхабе обязательно нужно иметь?,0.015077777777777778,0.06785000000000001,0.0
4,"Ага, он будет использоваться для сдачи некоторых домашек",0.045230000000000006,0.1507666666666667,0.0
5,"Кстати, всем привет! <br>Меня зовут Аня, мы с Катей <a href=""https://t.me/kattynatty"">@kattynatty</a> ваши ассистенты. Если у вас будут какие-то непонятки с домашками/вопросы по каким-то темам -- обращайтесь к нам, мы вам поможем",0.06478717948717949,0.3158375,0.2414
6,"Здравствуйте, а что такое &quot;латинская метка&quot; в таблице?",0.0,0.0,0.0
7,И откуда брать &quot;ник говорящего&quot;?,0.0064555555555555555,0.0581,0.0
8,"Привет<br>Про &quot;латинскую метку&quot; уточню,  а &quot;ник говорящего&quot; вы составляете сами, инструкция есть в вашем конспекте<br><a href=""https://olesar.github.io/lingdata2020/hw1-metadata.html"">https://olesar.github.io/lingdata2020/hw1-metadata.html</a>",0.04783125,0.38265,0.0
9,Спасибо,0.0,0.0,0.0
10,"&quot;латинская метка&quot; — это имя файла видео, которое вы будете размечать, оно должно быть латинскими буквами<br>вы потом увидете, в результате работы с видео у вас будут выходить файлы типа [name].[какое-то расширение], вот &quot;латинская метка&quot; = [name]",0.06171914893617021,0.29008,0.0
11,"То есть, пока что это не надо заполнять?",0.056327272727272726,0.30979999999999996,0.0
12,"Заполните сейчас, чтобы потом не возникло путаницы с файлами.",-0.030950000000000002,-0.09285000000000002,-0.9
13,"Так, если я пока не работала с видео? Нам его только найти надо. Или это создать на гитхабе?",0.09557826086956522,0.549575,0.65715
14,"просто придумайте пока какое-нибудь более цивильное название на основе названия вашего видео, которым вы в будущем будете называть итоговые файлы",0.07400454545454546,0.32562,0.0
15,"Хорошо, спасибо",0.0,0.0,0.0
16,А мы должны для интервью создать новый репозиторий?,0.13989000000000001,0.4663,0.6767000000000001
17,"Добрый вечер, пока нет",0.16666666666666666,1.0,1.0
18,Просто там ссылку нужно вставить...,0.019366666666666664,0.08714999999999999,0.0
19,"А, верно, тогда создайте репозиторий LiveCorpus, это не сложно:)",0.05494615384615385,0.7143,0.7143
20,Поняла<br>Там нужно тоже только readme выбрать?,0.10025555555555556,0.45115,0.8023
21,"Можно без ничего создавать, насколько я понимаю",0.2754,0.61965,0.78215
22,"Да, создайте файл readme так же, как мы делали на семинаре",0.08161428571428572,0.3808666666666667,0.7143
23,Спасибо большое,0.08896666666666668,0.2669,0.0
24,а мы же можем взять подкаст? он вроде очень даже похож на интервью..👉🏻👈🏻,0.0386235294117647,0.3283,0.6111
25,Он с видео?,0.0,0.0,0.0
26,да,0.0,0.0,0.0
27,"Если вас спонтанность речи там устраивает, то да. Многие подкасты участники-журналисты заранее расписывают на бумаге, вот этого хотелось бы избежать (гладкой подготовленной речи)",0.0917074074074074,0.41268333333333335,0.0
28,"хорошо, спасибо)",0.0,0.0,0.0
29,нужно ли заполнять длину размеченного фрагмента?,0.051375000000000004,0.137,0.0
30,в самой первой строчке в таблице написано &lt;пока не заполняем&gt;,0.012327272727272727,0.1356,0.0
31,Пока что не нужно заполнять),0.0,0.0,0.0
32,спасибо!,0.0,0.0,0.0
33,"для групп, у которых ещё не было семинара, на котором рассказывали про дз, дедлайн заполнения таблички тоже завтра?",0.027656521739130437,0.159025,0.0
34,"Добрый день, Нет, конечно, расскажу на первом семинаре)",0.0926,0.3704,1.0
35,"Здравствуйте! А когда у нас (204 группа) будет семинар? Кажется, вы говорили, что должен быть в понедельник, но у нас его нет в расписании (ни сегодня, ни в другой день на этой неделе)",0.03632,0.24213333333333334,0.0
36,"добрый день!<br>если в интервью вопросы не задаются вслух, а написаны на экране - это критично? (интервьюируемый отвечал на вопросы, заданные вслух, но потом видео отредактировали)",0.051365625,0.2348142857142857,1.0
37,"Ой, это совсем плохо, мы ведь собираем данные по устной коммуникации. Я бы даже была рада, чтобы видео не редактировали, но это бывает сложно установить без опыта",0.11927575757575758,0.4373444444444444,0.9238999999999999
38,"я имею в виду, что интервью все целиком изначально устное, но потом фразы интервьюера вырезали и заменили на кадры с текстом - ответы говорящего остались без изменений. лучше заменить видео?",0.056005714285714284,0.19602,1.0
39,"Нужно видео, где задают вопросы устно",0.030425,0.2434,0.0
40,"Я вот пришла на пары к 3 и 4 группам, никого нет, и тут мы выяснили, что они у вас в РУЗе пропали из зоны видимости",0.013363333333333335,0.08018,-0.06874999999999998
41,Пока обсуждаем возможность провести их онлайн завтра,0.1270625,0.50825,0.9
42,У 204 группы есть завтра что-то кроме 1 пары?,0.05422727272727272,0.29824999999999996,0.0
43,5 и 6,0.0,0.0,0.0
44,у некоторых нисы,0.0,0.0,0.0
45,"Если не ошибаюсь (поправьте, если что), у нас свободна вторая пара. 5 и 6 - цифровая грамотность, а 3 и 4 - один из НИСов",0.04882,0.29292,0.4090666666666667
46,"если, вторая свободна, попрошу офис поставить семинар 204 группе на это время",0.08352,0.25056,0.9304
